"Locatie";"Tagnaam";"Datum";"Tijd (Europe/Amsterdam)";"Waarde";"Valid flag"
"DYLP029A";"B1_mwf";"2016-08-29";"23:00:00";"1008,1";""
"DYLP029A";"B1_mwf";"2016-08-30";"00:00:00";"1003,53";""
"DYLP029A";"B1_mwf";"2016-08-30";"01:00:00";"1000,35";""
"DYLP029A";"B1_mwf";"2016-08-30";"02:00:00";"998";""
"DYLP029A";"B1_mwf";"2016-08-30";"03:00:00";"995,35";""
"DYLP029A";"B1_mwf";"2016-08-30";"04:00:00";"993,3";""
"DYLP029A";"B1_mwf";"2016-08-30";"05:00:00";"990,68";""
"DYLP029A";"B1_mwf";"2016-08-30";"06:00:00";"989,15";""
"DYLP029A";"B1_mwf";"2016-08-30";"07:00:00";"988,23";""
"DYLP029A";"B1_mwf";"2016-08-30";"08:00:00";"987,3";""
"DYLP029A";"B1_mwf";"2016-08-30";"09:00:00";"990,15";""
"DYLP029A";"B1_mwf";"2016-08-30";"10:00:00";"999,13";""
"DYLP029A";"B1_mwf";"2016-08-30";"11:00:00";"1009,85";""
"DYLP029A";"B1_mwf";"2016-08-30";"12:00:00";"1018,4";""
"DYLP029A";"B1_mwf";"2016-08-30";"13:00:00";"1025,85";""
"DYLP029A";"B1_mwf";"2016-08-30";"14:00:00";"1033,1";""
"DYLP029A";"B1_mwf";"2016-08-30";"15:00:00";"1036,75";""
"DYLP029A";"B1_mwf";"2016-08-30";"16:00:00";"1036,5";""
"DYLP029A";"B1_mwf";"2016-08-30";"17:00:00";"1035,85";""
"DYLP029A";"B1_mwf";"2016-08-30";"18:00:00";"1034,53";""
"DYLP029A";"B1_mwf";"2016-08-30";"19:00:00";"1032,28";""
"DYLP029A";"B1_mwf";"2016-08-30";"20:00:00";"1026,58";""
"DYLP029A";"B1_mwf";"2016-08-30";"21:00:00";"1018,7";""
"DYLP029A";"B1_mwf";"2016-08-30";"22:00:00";"1010,75";""
"DYLP029A";"B1_mwf";"2016-08-30";"23:00:00";"1004,43";""
"DYLP029A";"B1_mwf";"2016-08-31";"00:00:00";"999,33";""
"DYLP029A";"B1_mwf";"2016-08-31";"01:00:00";"995,45";""
"DYLP029A";"B1_mwf";"2016-08-31";"02:00:00";"992,3";""
"DYLP029A";"B1_mwf";"2016-08-31";"03:00:00";"990,5";""
"DYLP029A";"B1_mwf";"2016-08-31";"04:00:00";"987,83";""
"DYLP029A";"B1_mwf";"2016-08-31";"05:00:00";"986,8";""
"DYLP029A";"B1_mwf";"2016-08-31";"06:00:00";"984,45";""
"DYLP029A";"B1_mwf";"2016-08-31";"07:00:00";"983,3";""
"DYLP029A";"B1_mwf";"2016-08-31";"08:00:00";"982,5";""
"DYLP029A";"B1_mwf";"2016-08-31";"09:00:00";"986,8";""
"DYLP029A";"B1_mwf";"2016-08-31";"10:00:00";"997,7";""
"DYLP029A";"B1_mwf";"2016-08-31";"11:00:00";"1010,55";""
"DYLP029A";"B1_mwf";"2016-08-31";"12:00:00";"1020,35";""
"DYLP029A";"B1_mwf";"2016-08-31";"13:00:00";"1028,3";""
"DYLP029A";"B1_mwf";"2016-08-31";"14:00:00";"1038,4";""
"DYLP029A";"B1_mwf";"2016-08-31";"15:00:00";"1043,7";""
"DYLP029A";"B1_mwf";"2016-08-31";"18:00:00";"1042,38";""
"DYLP029A";"B1_mwf";"2016-08-31";"21:00:00";"1027,58";""
"DYLP029A";"B1_mwf";"2016-09-01";"00:00:00";"1008,63";""
"DYLP029A";"B1_mwf";"2016-09-01";"03:00:00";"996,38";""
"DYLP029A";"B1_mwf";"2016-09-01";"06:00:00";"990,58";""
